date,EURUSD,GBPUSD,NZDUSD,CADUSD,AUDUSD
2021-02-12,1.21198,1.38502,0.72222,0.7876,0.77599
2021-02-15,1.21284,1.39032,0.72265,0.7914,0.77805
2021-02-16,1.21065,1.39035,0.72114,0.78807,0.77549
2021-02-17,1.20391,1.38628,0.71899,0.78736,0.77512
2021-02-18,1.20909,1.39746,0.72211,0.78875,0.7768
2021-02-19,1.21184,1.40122,0.7301,0.79271,0.78708
2021-02-22,1.21574,1.40628,0.73305,0.7926,0.79151
2021-02-23,1.21499,1.41147,0.73396,0.79438,0.79114
2021-02-24,1.21697,1.41406,0.74357,0.79922,0.79672
2021-02-25,1.21735,1.40178,0.73729,0.79336,0.78726
2021-02-26,1.20708,1.39191,0.72343,0.78503,0.77053
2021-03-01,1.20493,1.39263,0.72654,0.79075,0.77712
2021-03-02,1.20909,1.39558,0.72909,0.79127,0.78193
2021-03-03,1.20628,1.39512,0.72472,0.79017,0.7774
2021-03-04,1.1972,1.38956,0.719,0.78944,0.77241
2021-03-05,1.1915,1.3842,0.71685,0.79,0.76872
2021-03-08,1.18463,1.38217,0.71231,0.78952,0.76494
2021-03-09,1.19011,1.38887,0.71722,0.79118,0.7717
2021-03-10,1.19293,1.39362,0.71939,0.79247,0.77346
2021-03-11,1.19863,1.39908,0.72272,0.79791,0.77887
2021-03-12,1.1953,1.39251,0.71767,0.80153,0.7758
2021-03-15,1.19304,1.39032,0.72022,0.80175,0.77546
2021-03-16,1.19027,1.38925,0.71899,0.80355,0.77448
2021-03-17,1.19803,1.39643,0.72396,0.80616,0.77969
2021-03-18,1.19158,1.39284,0.71673,0.80085,0.77597
2021-03-19,1.19044,1.38653,0.71653,0.7999,0.77402
2021-03-22,1.19328,1.38646,0.71622,0.79861,0.77466
2021-03-23,1.18496,1.37539,0.6999,0.79442,0.76244
2021-03-24,1.18131,1.3682,0.6962,0.79471,0.75824
2021-03-25,1.17643,1.37332,0.69502,0.79285,0.75803
2021-03-26,1.17934,1.37952,0.69987,0.79509,0.76414
2021-03-29,1.17649,1.37616,0.69982,0.79425,0.76315
2021-03-30,1.17158,1.37415,0.69839,0.79171,0.75972
2021-03-31,1.17306,1.37847,0.6985,0.79607,0.75959
2021-04-01,1.17773,1.38333,0.70213,0.79699,0.76178
